Tree,Taxon,StandardizedAbundance
Jiangsu,ASV8179,13.353103795577008
Jiangsu,ASV8179,13.287392704643924
Jiangsu,ASV8179,13.543945504483478
Jiangsu,ASV8179,13.400089722232025
Jiangsu,ASV8179,5.327256035705244
Jiangsu,ASV8179,5.6558787831666155
Jiangsu,ASV8179,5.293308703781907
Jiangsu,ASV8179,5.601430999144239
Jiangsu,ASV8179,4.988454122253486
Jiangsu,ASV8179,5.455580132680784
Jiangsu,ASV8179,6.1489187944467325
Jiangsu,ASV8179,5.392844377332821
Jiangsu,ASV8179,5.1489187944467325
Jiangsu,ASV8179,5.544847470777872
Jiangsu,ASV8179,4.758972276130718
Jiangsu,ASV8179,5.878271204503063
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,5.360422899640444
Jiangsu,ASV8179,5.1489187944467325
Jiangsu,ASV8179,5.682350994527806
Jiangsu,ASV8179,5.9453854003616
Jiangsu,ASV8179,5.783634330364988
Jiangsu,ASV8179,5.6558787831666155
Jiangsu,ASV8179,5.708346203060751
Jiangsu,ASV8179,5.967080471460919
Jiangsu,ASV8179,5.293308703781907
Jiangsu,ASV8179,6.310382217140848
Jiangsu,ASV8179,5.186393499865395
Jiangsu,ASV8179,5.733881295167889
Jiangsu,ASV8179,5.5734166229746425
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,4.758972276130718
Jiangsu,ASV8179,5.25854328562123
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,5.733881295167889
Jiangsu,ASV8179,5.601430999144239
Jiangsu,ASV8179,6.167777821698048
Jiangsu,ASV8179,5.544847470777872
Jiangsu,ASV8179,3.070916282445459
Jiangsu,ASV8179,5.360422899640444
Jiangsu,ASV8179,6.843505786342386
Jiangsu,ASV8179,7.552042972182075
Jiangsu,ASV8179,7.682350994527806
Jiangsu,ASV8179,6.708346203060751
Jiangsu,ASV8179,7.714772472220184
Jiangsu,ASV8179,7.376724711969544
Jiangsu,ASV8179,7.765177425657427
Jiangsu,ASV8179,7.777508227568147
Jiangsu,ASV8179,7.343934776851875
Jiangsu,ASV8179,7.855187591390022
Jiangsu,ASV8179,8.163086126373326
Jiangsu,ASV8179,15.810274989878854
Jiangsu,ASV8179,15.035337377961568
Jiangsu,ASV8179,15.094170094352018
Jiangsu,ASV8179,16.06676193238691
Jiangsu,ASV8179,15.242857532315304
Jiangsu,ASV8179,14.36349355360041
Jiangsu,ASV8179,14.988039685710207
Jiangsu,ASV8179,15.25282772537154
Jiangsu,ASV8179,14.816170424402715
Jiangsu,ASV8179,14.468590915393726
Jiangsu,ASV8179,15.01644140428644
Jiangsu,ASV8179,15.682760792866278
Jiangsu,ASV8179,14.059206477666976
Jiangsu,ASV8179,15.41166274363955
Jiangsu,ASV8179,15.18675470640715
Jiangsu,ASV8179,15.90209155030259
Jiangsu,ASV8179,15.069663399135377
Jiangsu,ASV8179,14.817337294717293
Jiangsu,ASV8179,15.143904853565623
Jiangsu,ASV8179,15.675958460376012
Jiangsu,ASV8179,14.891760050660572
Jiangsu,ASV8179,14.923272391003186
Jiangsu,ASV8179,15.052087121532951
Jiangsu,ASV8179,14.876481037948901
Jiangsu,ASV8179,7.301870717285331
Jiangsu,ASV8179,6.408785921201843
Jiangsu,ASV8179,6.843505786342386
Jiangsu,ASV8179,6.240841283887772
Jiangsu,ASV8179,7.4859537817243025
Jiangsu,ASV8179,6.9122185364264
Jiangsu,ASV8179,6.889675967775313
Jiangsu,ASV8179,6.771356000586551
Jiangsu,ASV8179,6.988454122253486
Jiangsu,ASV8179,7.139396020328226
Jiangsu,ASV8179,8.928897277573032
Jiangsu,ASV8179,6.866775565665233
Jiangsu,ASV8179,6.695407147353253
Jiangsu,ASV8179,6.746481331947522
Jiangsu,ASV8179,6.807881876611665
Jiangsu,ASV8179,6.4245532370601595
Jiangsu,ASV8179,6.343934776851875
Jiangsu,ASV8179,7.060862617781536
Jiangsu,ASV8179,6.9344142825405966
Jiangsu,ASV8179,6.186393499865395
Jiangsu,ASV8179,7.1104446466320965
Jiangsu,ASV8179,6.682350994527806
Jiangsu,ASV8179,7.04054263340194
Jiangsu,ASV8179,6.9453854003616
Jiangsu,ASV8179,14.951265090601485
Jiangsu,ASV8179,14.319898012261046
Jiangsu,ASV8179,15.131912369141043
Jiangsu,ASV8179,14.600292607071394
Jiangsu,ASV8179,14.721170243418335
Jiangsu,ASV8179,14.829278317960444
Jiangsu,ASV8179,14.85904549180529
Jiangsu,ASV8179,15.067036645478504
Jiangsu,ASV8179,13.958644620967084
Jiangsu,ASV8179,14.805155463745523
Jiangsu,ASV8179,14.233377548184752
Jiangsu,ASV8179,14.307661339742149
Jiangsu,ASV8179,0
Jiangsu,ASV8179,5.4859537817243025
Jiangsu,ASV8179,4.360422899640444
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,5.1104446466320965
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,14.185309337312766
Jiangsu,ASV8179,15.242579596555471
Jiangsu,ASV8179,15.312071885545064
Jiangsu,ASV8179,15.305567418243495
Jiangsu,ASV8179,14.791113029740583
Jiangsu,ASV8179,16.053969255416362
Jiangsu,ASV8179,14.992013370552252
Jiangsu,ASV8179,15.113069631411166
Jiangsu,ASV8179,15.10292373297334
Jiangsu,ASV8179,15.203380310195922
Jiangsu,ASV8179,15.22987653928142
Jiangsu,ASV8179,15.275011883861444
Jiangsu,ASV8179,8.849358512587823
Jiangsu,ASV8179,8.115310401803914
Jiangsu,ASV8179,15.002761822629132
Jiangsu,ASV8179,14.051690569747686
Jiangsu,ASV8179,13.697132313084452
Jiangsu,ASV8179,14.29418060523015
Jiangsu,ASV8179,8.727539768294061
Jiangsu,ASV8179,14.501543062121696
Jiangsu,ASV8179,7.544847470777872
Jiangsu,ASV8179,14.30353707040192
Jiangsu,ASV8179,14.068723022106392
Jiangsu,ASV8179,14.447524057429009
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,3.988454122253486
Jiangsu,ASV8179,4.222919375890509
Jiangsu,ASV8179,4.4245532370601595
Jiangsu,ASV8179,4.4245532370601595
Jiangsu,ASV8179,0
Jiangsu,ASV8179,4.293308703781907
Jiangsu,ASV8179,3.360422899640444
Jiangsu,ASV8179,0
Jiangsu,ASV8179,4.544847470777871
Jiangsu,ASV8179,3.988454122253486
Jiangsu,ASV8179,5.1489187944467325
Jiangsu,ASV8179,0
Jiangsu,ASV8179,4.293308703781907
Jiangsu,ASV8179,0
Jiangsu,ASV8179,3.070916282445459
Jiangsu,ASV8179,3.807881876611665
Jiangsu,ASV8179,4.988454122253486
Jiangsu,ASV8179,4.988454122253486
Jiangsu,ASV8179,3.9009912810031464
Jiangsu,ASV8179,4.6558787831666155
Jiangsu,ASV8179,2.9009912810031464
Jiangsu,ASV8179,4.360422899640444
Jiangsu,ASV8179,2.9009912810031464
Jiangsu,ASV8179,4.1489187944467325
Jiangsu,ASV8179,3.988454122253486
Jiangsu,ASV8179,3.360422899640444
Jiangsu,ASV8179,0
Jiangsu,ASV8179,4.0709162824454594
Jiangsu,ASV8179,3.360422899640444
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Jiangsu,ASV8179,0
Heilongjiang,ASV8179,4.807881876611665
Heilongjiang,ASV8179,5.0709162824454586
Heilongjiang,ASV8179,4.360422899640444
Heilongjiang,ASV8179,4.4245532370601595
