OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV11542	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	unidentified_Ktedonobacteraceae	unidentified_Ktedonobacteraceae
ASV11543	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	unidentified_Clostridium_sensu_stricto_1
ASV11544	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_plantarum
ASV11545	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales	Desulfohalotomaculum	unidentified_Desulfohalotomaculum
ASV11546	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Planctopirus	uncultured_bacterium
ASV11547	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unidentified_Acinetobacter
ASV11548	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	unidentified_Lachnoclostridium
ASV11549	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales	unidentified_Desulfotomaculales	unidentified_Desulfotomaculales
ASV11550	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	unidentified_Massilia
ASV11551	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	unidentified_Isosphaeraceae	unidentified_Isosphaeraceae
ASV11552	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unidentified_Sphingomonas
ASV11553	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	unidentified_Acidothermus
ASV11554	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unidentified_Gemmatimonadaceae	unidentified_Gemmatimonadaceae
ASV11555	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	uncultured_bacterium
ASV11556	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	unidentified_Staphylococcus
ASV11557	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	unidentified_Brevundimonas
ASV11558	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unidentified_Acinetobacter
ASV11559	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_sp.
ASV11560	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	uncultured_bacterium
ASV11561	Eukaryota	Phragmoplastophyta	Embryophyta	Magnoliophyta	Magnoliophyta	Magnoliophyta	unidentified_Magnoliophyta
ASV11562	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	unidentified_Brevundimonas
ASV11563	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	unidentified_Thermomicrobiales	unidentified_Thermomicrobiales	unidentified_Thermomicrobiales
ASV11564	Bacteria	Bdellovibrionota	Oligoflexia	uindentified_Oligoflexia	uindentified_Oligoflexia	uindentified_Oligoflexia	uindentified_Oligoflexia
ASV11565	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	unidentified_Leuconostoc
ASV11566	Eukaryota	Phragmoplastophyta	Embryophyta	Magnoliophyta	Magnoliophyta	Magnoliophyta	unidentified_Magnoliophyta
ASV11567	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	unidentified_Micromonosporaceae	unidentified_Micromonosporaceae
ASV11568	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	uncultured_bacterium
ASV11569	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	unidentified_Pedosphaeraceae	unidentified_Pedosphaeraceae
ASV11570	Bacteria	Firmicutes	Clostridia	Eubacteriales	Garciellaceae	Irregularibacter	uncultured_bacterium
ASV11571	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	unidentified_Rhodobacteraceae	unidentified_Rhodobacteraceae
ASV11572	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	unidentified_Microbacterium
ASV11573	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	unidentified_Isosphaeraceae	unidentified_Isosphaeraceae
ASV11574	Eukaryota	Phragmoplastophyta	Embryophyta	Magnoliophyta	Magnoliophyta	Magnoliophyta	unidentified_Magnoliophyta
ASV11575	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_indonesiensis
ASV11576	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	unidentified_Alcaligenaceae	unidentified_Alcaligenaceae
ASV11577	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Burkholderia_sp.
ASV11578	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium_sp.
ASV11579	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	unidentified_Candidatus_Protochlamydia
ASV11580	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	unidentified_Microvirga
ASV11581	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unidentified_Acinetobacter
ASV11582	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unidentified_Caulobacteraceae	unidentified_Caulobacteraceae
