	otu	otu_occ	otu_rel	fill
193	ASV204	0.012531328	8.39E-05	core
194	ASV205	0.000835422	5.31E-07	core
195	ASV206	0.000835422	1.46E-08	core
196	ASV207	0.000835422	1.03E-07	core
197	ASV208	0.000835422	5.41E-08	core
198	ASV209	0.000835422	9.64E-08	core
199	ASV210	0.000835422	1.59E-07	core
200	ASV211	0.000835422	1.23E-06	core
201	ASV212	0.008354219	9.17E-06	core
202	ASV213	0.004177109	4.34E-06	core
203	ASV214	0.000835422	1.35E-06	core
204	ASV215	0.000835422	1.09E-07	core
205	ASV216	0.000835422	3.17E-06	core
206	ASV217	0.000835422	4.39E-07	core
207	ASV218	0.000835422	7.74E-08	core
208	ASV219	0.000835422	1.06E-07	core
209	ASV220	0.000835422	1.04E-07	core
210	ASV221	0.007518797	4.84E-05	core
211	ASV222	0.000835422	1.17E-07	core
212	ASV223	0.000835422	1.96E-07	core
213	ASV224	0.000835422	9.06E-08	core
214	ASV225	0.000835422	3.15E-07	core
215	ASV226	0.000835422	1.47E-06	core
216	ASV227	0.001670844	5.54E-06	core
217	ASV228	0.000835422	2.10E-07	core
218	ASV229	0.000835422	3.17E-06	core
219	ASV230	0.000835422	2.94E-07	core
220	ASV231	0.003341688	4.24E-06	core
221	ASV232	0.004177109	6.57E-07	core
222	ASV233	0.000835422	3.56E-07	core
223	ASV234	0.000835422	2.85E-08	core
224	ASV235	0.000835422	1.89E-07	core
225	ASV236	0.000835422	1.33E-07	core
226	ASV237	0.000835422	7.72E-08	core
227	ASV238	0.000835422	1.11E-08	core
228	ASV239	0.000835422	1.64E-07	core
229	ASV240	0.000835422	4.32E-07	core
230	ASV241	0.000835422	2.66E-06	core
231	ASV242	0.000835422	6.05E-08	core
232	ASV243	0.01754386	5.89E-05	core
233	ASV244	0.000835422	8.00E-08	core
234	ASV245	0.000835422	5.22E-07	core
235	ASV246	0.000835422	2.62E-07	core
236	ASV247	0.000835422	2.89E-07	core
237	ASV248	0.000835422	9.27E-08	core
238	ASV249	0.054302423	5.20E-05	core
239	ASV250	0.000835422	2.12E-07	core
240	ASV251	0.000835422	2.59E-07	core
241	ASV252	0.000835422	3.73E-08	core
242	ASV253	0.001670844	1.09E-05	core
243	ASV255	0.000835422	2.04E-07	core
244	ASV256	0.000835422	2.66E-08	core
245	ASV257	0.000835422	2.54E-06	core
246	ASV258	0.000835422	3.57E-08	core
247	ASV259	0.000835422	1.39E-07	core
248	ASV260	0.000835422	1.02E-06	core
249	ASV261	0.000835422	6.26E-06	core
250	ASV262	0.000835422	1.16E-07	core
251	ASV263	0.000835422	5.15E-08	core
252	ASV265	0.000835422	3.12E-07	core
253	ASV266	0.000835422	1.53E-07	core
254	ASV267	0.000835422	5.43E-07	core
255	ASV268	0.000835422	2.11E-07	core
256	ASV269	0.000835422	5.59E-08	core
257	ASV270	0.000835422	2.21E-06	core
258	ASV271	0.000835422	1.99E-07	core
259	ASV273	0.000835422	3.92E-07	core
260	ASV274	0.000835422	3.50E-07	core
261	ASV275	0.000835422	3.85E-08	core
262	ASV276	0.000835422	2.27E-05	core
263	ASV277	0.000835422	1.06E-07	core
264	ASV278	0.001670844	2.28E-07	core
265	ASV279	0.000835422	1.11E-07	core
266	ASV281	0.000835422	2.45E-06	core
267	ASV282	0.000835422	5.76E-08	core
268	ASV283	0.001670844	2.65E-07	core
269	ASV284	0.012531328	4.32E-06	core
270	ASV285	0.000835422	3.73E-07	core
271	ASV286	0.000835422	3.42E-08	core
272	ASV287	0.000835422	6.94E-07	core
273	ASV289	0.000835422	5.05E-08	core
274	ASV290	0.004177109	2.56E-06	core
275	ASV291	0.000835422	3.10E-08	core
276	ASV292	0.000835422	1.16E-07	core
277	ASV293	0.000835422	4.80E-06	core
278	ASV294	0.000835422	7.85E-07	core
279	ASV295	0.008354219	3.07E-06	core
280	ASV296	0.000835422	6.18E-08	core
281	ASV297	0.000835422	7.16E-08	core
282	ASV298	0.001670844	4.61E-07	core
283	ASV299	0.000835422	1.04E-06	core
284	ASV300	0.000835422	1.88E-06	core
285	ASV301	0.000835422	1.54E-08	core
286	ASV302	0.000835422	3.38E-07	core
287	ASV303	0.000835422	1.42E-07	core
288	ASV304	0.033416876	9.66E-05	core
289	ASV305	0.000835422	2.76E-07	core
290	ASV306	0.000835422	3.96E-08	core
291	ASV308	0.000835422	1.17E-07	core
292	ASV309	0.000835422	1.41E-08	core
293	ASV310	0.000835422	7.89E-08	core
294	ASV311	0.000835422	1.75E-07	core
295	ASV312	0.000835422	1.95E-07	core
296	ASV313	0.000835422	2.02E-07	core
297	ASV314	0.001670844	4.63E-06	core
298	ASV315	0.000835422	2.15E-07	core
299	ASV316	0.000835422	1.76E-07	core
300	ASV317	0.000835422	9.81E-07	core
301	ASV318	0.000835422	9.72E-07	core
302	ASV319	0.001670844	5.54E-06	core
303	ASV320	0.000835422	3.29E-07	core
304	ASV321	0.000835422	8.97E-08	core
305	ASV322	0.000835422	8.20E-07	core
306	ASV323	0.002506266	4.75E-07	core
307	ASV325	0.000835422	4.45E-08	core
308	ASV326	0.000835422	1.25E-07	core
309	ASV327	0.000835422	3.34E-07	core
310	ASV328	0.000835422	6.46E-06	core
311	ASV329	0.000835422	1.02E-05	core
312	ASV331	0.000835422	4.15E-08	core
313	ASV332	0.000835422	1.71E-07	core
314	ASV333	0.000835422	3.55E-08	core
315	ASV334	0.000835422	7.58E-07	core
316	ASV335	0.000835422	6.57E-07	core
317	ASV337	0.000835422	1.02E-06	core
318	ASV338	0.269005848	1.32E-03	core
319	ASV339	0.000835422	1.29E-06	core
320	ASV340	0.000835422	4.69E-07	core
321	ASV341	0.000835422	5.64E-08	core
322	ASV342	0.000835422	2.42E-07	core
323	ASV343	0.000835422	2.32E-07	core
324	ASV344	0.004177109	1.26E-05	core
325	ASV345	0.000835422	1.75E-07	core
326	ASV346	0.000835422	2.22E-07	core
327	ASV347	0.000835422	3.17E-08	core
328	ASV348	0.000835422	1.09E-07	core
329	ASV349	0.000835422	2.20E-07	core
330	ASV350	0.000835422	6.47E-08	core
331	ASV351	0.000835422	3.16E-06	core
332	ASV352	0.001670844	2.45E-07	core
333	ASV353	0.001670844	3.33E-06	core
334	ASV354	0.001670844	3.95E-07	core
335	ASV355	0.000835422	3.38E-07	core
336	ASV356	0.000835422	9.54E-08	core
337	ASV357	0.000835422	1.68E-07	core
338	ASV358	0.000835422	5.14E-07	core
339	ASV359	0.000835422	5.12E-08	core
340	ASV360	0.000835422	4.34E-08	core
341	ASV361	0.000835422	3.72E-08	core
342	ASV362	0.000835422	2.03E-07	core
343	ASV363	0.000835422	1.80E-07	core
344	ASV364	0.000835422	5.84E-07	core
345	ASV365	0.001670844	9.62E-07	core
346	ASV366	0.002506266	1.61E-05	core
347	ASV367	0.000835422	4.62E-08	core
348	ASV368	0.000835422	2.12E-08	core
349	ASV369	0.000835422	4.88E-07	core
350	ASV370	0.000835422	6.21E-07	core
351	ASV371	0.000835422	2.10E-08	core
352	ASV372	0.000835422	7.01E-06	core
353	ASV373	0.000835422	7.04E-08	core
354	ASV374	0.002506266	6.03E-06	core
355	ASV375	0.000835422	1.03E-07	core
356	ASV376	0.000835422	7.41E-08	core
357	ASV377	0.000835422	1.99E-08	core
358	ASV378	0.000835422	4.41E-07	core
359	ASV379	0.000835422	1.61E-05	core
360	ASV380	0.002506266	4.13E-06	core
361	ASV381	0.000835422	2.73E-07	core
362	ASV382	0.000835422	4.42E-07	core
363	ASV383	0.000835422	6.23E-08	core
364	ASV384	0.000835422	2.05E-08	core
365	ASV385	0.000835422	2.81E-06	core
366	ASV386	0.001670844	3.29E-07	core
367	ASV387	0.000835422	8.83E-08	core
368	ASV388	0.000835422	3.20E-06	core
369	ASV389	0.000835422	2.32E-07	core
370	ASV390	0.112781955	3.57E-04	core
371	ASV391	0.000835422	9.72E-07	core
372	ASV393	0.062656642	1.40E-04	core
373	ASV394	0.001670844	3.90E-06	core
374	ASV395	0.000835422	8.40E-08	core
375	ASV396	0.000835422	1.54E-06	core
376	ASV397	0.000835422	1.08E-06	core
377	ASV398	0.000835422	3.80E-07	core
378	ASV399	0.005012531	3.80E-06	core
379	ASV400	0.000835422	2.15E-07	core
380	ASV401	0.000835422	6.45E-07	core
381	ASV402	0.000835422	1.86E-06	core
382	ASV403	0.000835422	1.33E-05	core
383	ASV405	0.000835422	9.55E-08	core
384	ASV406	0.000835422	1.41E-07	core
385	ASV407	0.000835422	2.92E-07	core
386	ASV409	0.000835422	4.14E-06	core
387	ASV410	0.000835422	8.48E-07	core
388	ASV411	0.000835422	1.40E-07	core
389	ASV412	0.002506266	3.38E-07	core
390	ASV413	0.000835422	1.65E-06	core
391	ASV414	0.000835422	2.32E-07	core
392	ASV415	0.000835422	4.92E-08	core
393	ASV416	0.000835422	2.10E-07	core
394	ASV417	0.002506266	2.49E-05	core
395	ASV418	0.000835422	1.81E-06	core
396	ASV419	0.000835422	4.54E-07	core
397	ASV420	0.000835422	1.81E-07	core
398	ASV421	0.000835422	9.38E-09	core
399	ASV422	0.000835422	4.43E-07	core
400	ASV423	0.000835422	1.49E-07	core
401	ASV424	0.004177109	3.19E-06	core
