"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"389","ASV13598",0.00209861646523411,0.00570713255982069,0.000570713255982069
"390","ASV13622",0.61255207709782,0.156688219472903,0.0156688219472903
"391","ASV13623",2.66666666666667e-05,0.000266666666666667,2.66666666666667e-05
"392","ASV13624",0,0,0
"393","ASV13630",0.000975,0.00369284920370463,0.000369284920370463
"394","ASV1364",0,0,0
"395","ASV13645",0.00472469844645283,0.0108202532309076,0.00108202532309076
"396","ASV13653",0.0430143830435972,0.0381377007024595,0.00381377007024595
"397","ASV13659",0.486201061018513,0.177084435346107,0.0177084435346107
"398","ASV1368",0.450411097362862,0.155121031082272,0.0155121031082272
"399","ASV1369",0.0799601083844546,0.0487953686671085,0.00487953686671085
"400","ASV13692",0.0501194760501983,0.0366103330699123,0.00366103330699123
"401","ASV13693",0.0761649885767007,0.0573428107887964,0.00573428107887964
"402","ASV13706",0.00615439294776317,0.0125871855771979,0.00125871855771979
"403","ASV13707",0.00754432049011054,0.0175476415902027,0.00175476415902027
"404","ASV13716",0.0414126909866222,0.0318367772493137,0.00318367772493137
"405","ASV13752",0.0808416298069398,0.0436676644405429,0.00436676644405429
"406","ASV13761",0.00143794871794872,0.00464116755955018,0.000464116755955018
"407","ASV13772",0.00285186617347454,0.00850806502090583,0.000850806502090583
"408","ASV13797",0.00352147519930721,0.00777010843708669,0.000777010843708669
"409","ASV13827",0.003666904313367,0.00852051587945455,0.000852051587945455
